"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Total","0.00","0.00","543.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Kharif","0.17","0.43","2486.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Summer","0.00","0.00","1950.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Total","0.17","0.43","2482.00"
"Odisha","Gajapati","Cereals","Kharif","0.50","1.04","2079.00"
"Odisha","Gajapati","Cereals","Summer","0.02","0.03","1898.00"
"Odisha","Gajapati","Cereals","Total","0.52","1.08","2073.00"
"Odisha","Gajapati","Moong","Summer","0.00","0.00","2.00"
"Odisha","Gajapati","Moong","Total","0.00","0.00","2.00"
"Odisha","Gajapati","Total Pulses","Total","0.00","0.00","2.00"
"Odisha","Gajapati","Total Food Grains","Kharif","0.50","1.04","2079.00"
"Odisha","Gajapati","Total Food Grains","Summer","0.02","0.03","1856.00"
"Odisha","Gajapati","Total Food Grains","Total","0.52","1.08","2071.00"
"Odisha","Ganjam","Rice","Kharif","2.62","6.05","2313.00"
"Odisha","Ganjam","Rice","Summer","0.01","0.02","2834.00"
"Odisha","Ganjam","Rice","Total","2.62","6.07","2314.00"
"Odisha","Ganjam","Maize","Kharif","0.02","0.07","2935.00"
"Odisha","Ganjam","Maize","Summer","0.00","0.00","2219.00"
"Odisha","Ganjam","Maize","Total","0.02","0.07","2910.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Kharif","0.02","0.07","2935.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Summer","0.00","0.00","2219.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Total","0.02","0.07","2910.00"
"Odisha","Ganjam","Cereals","Kharif","2.64","6.12","2319.00"
"Odisha","Ganjam","Cereals","Summer","0.01","0.02","2749.00"
"Odisha","Ganjam","Cereals","Total","2.65","6.14","2320.00"
"Odisha","Ganjam","Total Food Grains","Kharif","2.64","6.12","2319.00"
"Odisha","Ganjam","Total Food Grains","Summer","0.01","0.02","2749.00"
"Odisha","Ganjam","Total Food Grains","Total","2.65","6.14","2320.00"
"Odisha","Jagatsinghapur","Rice","Kharif","0.79","1.80","2280.00"
"Odisha","Jagatsinghapur","Rice","Summer","0.01","0.04","3010.00"
"Odisha","Jagatsinghapur","Rice","Total","0.80","1.84","2291.00"
"Odisha","Jagatsinghapur","Maize","Summer","0.00","0.00","2300.00"
"Odisha","Jagatsinghapur","Maize","Total","0.00","0.00","2300.00"
"Odisha","Jagatsinghapur","Nutri/Coarse Cereals","Summer","0.00","0.00","2300.00"
"Odisha","Jagatsinghapur","Nutri/Coarse Cereals","Total","0.00","0.00","2300.00"
"Odisha","Jagatsinghapur","Cereals","Kharif","0.79","1.80","2280.00"
"Odisha","Jagatsinghapur","Cereals","Summer","0.01","0.04","3009.00"
"Odisha","Jagatsinghapur","Cereals","Total","0.80","1.84","2291.00"
"Odisha","Jagatsinghapur","Moong","Summer","0.36","0.18","510.00"
"Odisha","Jagatsinghapur","Moong","Total","0.36","0.18","510.00"
"Odisha","Jagatsinghapur","Total Pulses","Total","0.36","0.18","510.00"
"Odisha","Jagatsinghapur","Total Food Grains","Kharif","0.79","1.80","2280.00"
"Odisha","Jagatsinghapur","Total Food Grains","Summer","0.37","0.22","597.00"
"Odisha","Jagatsinghapur","Total Food Grains","Total","1.16","2.02","1745.00"
"Odisha","Jajpur","Rice","Kharif","1.06","2.17","2040.00"
"Odisha","Jajpur","Rice","Summer","0.04","0.09","2513.00"
"Odisha","Jajpur","Rice","Total","1.10","2.26","2056.00"
"Odisha","Jajpur","Maize","Summer","0.00","0.00","1351.00"
"Odisha","Jajpur","Maize","Total","0.00","0.00","1351.00"
